id,nom,prenom,classe,fraisInscription
1,Girard,Céline,IRT1,3500
2,Legrand,Yves,GE1,4000
3,Huet,Henriette,IRT2,4500
4,Poirier,Auguste,GC2,5000
5,Guichard,Adrien,GI3,4500
6,Maillard,Jacqueline,GC2,3500
7,Gaillard,Adrienne,GI1,3500
8,Michel,Lucy,IRT1,5500
9,Lagarde,Virginie,GI2,4000
10,Baron,Claudine,IRT1,5500
11,Vallet,Inès,GI2,4000
12,Gimenez,Christelle,GC2,5000
13,Reynaud,Clémence,GI1,6000
14,Maillard,Pénélope,GI1,5500
15,Regnier,André,GC2,5000
16,Roger,Julie,GC2,3500
17,Durand,Eugène,GE2,4500
18,Bodin,Amélie,GI2,6000
19,Chauvet,Céline,GC1,4000
20,Jean,Emmanuel,GI1,6000
21,Chrétien,Stéphane,GC2,6000
22,Boulay,François,GI1,4500
23,Fontaine,Olivier,GE2,5000
24,Michel,Gabriel,GI2,4000
25,Fournier,Nicole,GI2,3500
26,Lejeune,Bernadette,IRT1,4500
27,Lelièvre,Madeleine,GE2,5500
28,Carpentier,Aurore,IRT2,4000
29,Garcia,Arthur,GE2,4000
30,Dupré,Jean,IRT2,4000
31,Maréchal,Philippe,IRT2,4000
32,Lopes,Bernard,GI2,6000
33,Boulanger,Christine,GI2,6000
34,Berthelot,Simone,GC2,4500
35,Becker,Joséphine,GI1,6000
36,Normand,Matthieu,GC2,4500
37,Camus,Monique,GE2,6000
38,De Sousa,Charlotte,GE1,4500
39,Mallet,René,IRT1,5500
40,Masse,Aurélie,GI3,5000
41,Gilles,Élise,GC1,5500
42,Delattre,Thibaut,GI2,6000
43,Barre,Édith,GI3,5500
44,Seguin,Marianne,GE1,4000
45,Hubert,Astrid,GC2,5000
46,Mace,Colette,GE2,3500
47,Peltier,Susan,GC2,4000
48,Hebert,Luce,IRT2,4000
49,Brunel,Aurore,GI3,4500
50,Lévy,Marc,GI3,4000
51,Philippe,Lucas,GE2,5000
52,Faure,Adrien,IRT1,6000
53,Aubry,Pénélope,GI1,4000
54,Renard,Astrid,GC1,3500
55,Salmon,Aimée,GI1,6000
56,Allain,Antoine,GI1,4000
57,Morvan,Sylvie,IRT2,4000
58,Guillou,Célina,GC1,4500
59,Legendre,Alphonse,IRT1,3500
60,Barbe,Éric,IRT2,4000
61,Gonzalez,Bertrand,IRT2,5000
62,Lopes,Élisabeth,GC2,4500
63,Leroux,Théodore,IRT1,4000
64,Charles,Capucine,GI2,4000
65,Payet,Henri,IRT2,4000
66,Renault,Alexandrie,GI1,5500
67,Bouvier,Philippe,GE1,5000
68,Hebert,Stéphanie,GI3,4000
69,Garnier,William,GE2,4000
70,Hubert,Margaux,GI2,5000
71,Blanchard,Marianne,IRT1,4500
72,Millet,Alexandre,GE1,5500
73,Dos Santos,Christine,IRT2,5500
74,Foucher,Anastasie,GC1,4000
75,Lemonnier,Thibault,GE2,5500
76,Thibault,Adrienne,GE2,5000
77,Fournier,Simone,GI3,3500
78,Weiss,Joséphine,GI1,3500
79,Vincent,Maurice,GI3,5000
80,Guyon,Lucas,GI1,5000
81,Legrand,Raymond,IRT2,4500
82,Imbert,Diane,GE1,3500
83,Neveu,William,GC1,4000
84,Royer,Michel,GI3,6000
85,Le Gall,Marine,GE2,4500
86,Labbé,Marc,IRT2,5000
87,Gilbert,Adèle,GE1,4500
88,Léger,Victor,GC1,3500
89,Michaud,Richard,GI3,5500
90,Hamon,Raymond,GE1,3500
91,Bazin,Madeleine,GE1,4500
92,Godard,Margot,IRT2,5500
93,Hernandez,Raymond,IRT1,5000
94,Richard,Susan,IRT1,6000
95,Mary,Raymond,GI3,4000
96,Cohen,Constance,GI1,4500
97,Moulin,Michel,IRT2,6000
98,Lesage,Marine,GI2,5000
99,Grégoire,Michelle,GI3,4500
100,Denis,Adrien,GI2,4000
101,Picard,Clémence,GC1,5500
102,Georges,Maryse,IRT2,3500
103,Colin,Laurence,GI2,4000
104,Blanchard,Aurélie,GI2,6000
105,Marin,Michèle,GC2,4000
106,Maurice,Caroline,IRT1,3500
107,Raymond,Alexandrie,GC2,6000
108,Allard,Henri,GC2,6000
109,Fontaine,Daniel,IRT1,4000
110,Guillot,Catherine,GI3,3500
111,Traore,Matthieu,IRT1,6000
112,Ruiz,Antoine,GC2,4000
113,Bourdon,Valentine,GC1,5500
114,Couturier,Émile,GI3,4500
115,Robert,Guy,GI1,4500
116,Carpentier,Sébastien,GE1,4000
117,Roux,Jeanne,GI1,5000
118,Boulanger,Louise,GE1,3500
119,Fleury,Christophe,GI3,4000
120,Foucher,Jacques,GC2,3500
121,Guillou,Christine,GI3,4000
122,Launay,Aimé,GE1,4500
123,Maillard,Luce,GE1,4500
124,Marty,Claire,GI1,5500
125,Lebreton,Tristan,IRT1,5000
126,Pinto,Stéphanie,GI2,5000
127,Lévêque,Marcelle,IRT2,3500
128,Le Gall,Vincent,GI2,4500
129,Pruvost,Gilbert,GC2,5000
130,Valette,Xavier,GI1,4500
131,Moreau,Robert,GC1,5000
132,Hoareau,Auguste,IRT1,5000
133,Delahaye,Bernadette,IRT2,6000
134,Maillot,Olivie,GC1,5500
135,Delannoy,Alexandria,IRT2,3500
136,Rossi,François,GE1,3500
137,Allard,Élodie,IRT1,6000
138,Gérard,Nicolas,IRT2,3500
139,Blondel,Laurent,GE1,4500
140,Hernandez,Michel,IRT2,5000
141,Bonneau,Thibault,GI1,4000
142,Leleu,Émile,GC2,5500
143,Duval,Adélaïde,IRT2,5000
144,Neveu,Léon,IRT1,3500
145,Maurice,Jeannine,GC2,5500
146,Rémy,Marthe,GC1,5000
147,Perez,Alexandria,GI2,4500
148,Dumas,Alix,GE1,5500
149,Diallo,Capucine,GE2,5500
150,Fontaine,Bertrand,GI2,5500
151,Rodrigues,Margaret,GE1,5000
152,Adam,Lucie,GI1,5000
153,Bailly,Victoire,IRT2,3500
154,Guyon,Claude,IRT1,5500
155,Hervé,Colette,GE1,4500
156,Roger,Adrien,GE1,5500
157,Leblanc,Maurice,IRT2,5500
158,François,Christelle,GI1,6000
159,Lopez,Claude,GC1,4000
160,Launay,Lucas,GI2,5500
161,Adam,Valentine,IRT2,5000
162,Antoine,Clémence,GC1,5500
163,Sauvage,Maurice,GI1,4500
164,Le Goff,Françoise,IRT1,6000
165,Morel,Guillaume,IRT1,3500
166,Charles,Xavier,GI1,3500
167,Valette,Françoise,GI2,3500
168,Rocher,Emmanuelle,GI3,6000
169,Texier,Julien,GE1,5500
170,Lemaître,Sylvie,GC2,5000
171,Dijoux,Grégoire,GC2,5000
172,Perrin,Anouk,GI3,6000
173,Dupuy,Océane,GI1,3500
174,Leclercq,Olivier,GC1,4500
175,Menard,Henri,IRT2,5000
176,Marion,Sébastien,GI1,4000
177,Descamps,Théophile,GI3,3500
178,Dias,Thomas,GE1,5500
179,Potier,Thierry,GI2,5500
180,Brunet,Lucie,GE2,5000
181,Gosselin,Benjamin,IRT1,4000
182,Carlier,Benoît,GC1,4500
183,Faivre,Valentine,GC1,3500
184,Brun,Bertrand,GE1,6000
185,Vasseur,Renée,GC2,5500
186,Bègue,Arthur,IRT1,6000
187,Marchand,Valentine,GE2,4500
188,Lopez,Agathe,GI1,5500
189,Letellier,Étienne,GI3,3500
190,Bourgeois,Augustin,IRT2,6000
191,Moulin,Véronique,GI2,4000
192,Bouvet,Lucie,GE2,4000
193,Pasquier,Alix,IRT2,4500
194,Boutin,Martin,GE1,5000
